Zone;Produit;Origine;Disponibilité alimentaire (Kcal/personne/jour);Disponibilité alimentaire en quantité (kg/personne/an);Disponibilité de matière grasse en quantité (g/personne/jour);Disponibilité de protéines en quantité (g/personne/jour);Disponibilité intérieure;Aliments pour animaux;Autres Utilisations;Exportations - Quantité;Importations - Quantité;Nourriture;Pertes;Production;Semences;Traitement;Variation de stock
Brésil;Sucre, canne;vegetale;13;16.47;0.09;0.05;739267;6900;347309;0;;3300;55047;739267;;326711;
Inde;Sucre, canne;vegetale;8;9.54;0.05;0.03;341200;6824;;0;0;11948;5118;341200;17060;300250;
États-Unis d'Amérique;Maïs;vegetale;92;12.24;0.26;1.67;292776;128024;137023;24655;3595;3917;;353699;582;23230;-39863
Inde;Lait - Excl Beurre;animale;129;84.5;5.65;8.17;133443;22757;0;2175;18;105807;4878;135600;;;0
Thaïlande;Manioc;vegetale;40;13;0.05;0.14;6264;1800;2081;25214;1250;871;1511;30228;;0;0
Inde;Riz (Eq Blanchi);vegetale;689;69.49;1.53;12.96;94854;2124;;11337;5;87006;3186;106186;2171;368;0
États-Unis d'Amérique;Lait - Excl Beurre;animale;368;254.69;22.15;21.94;87965;481;5972;10756;5235;81513;;91277;;0;2210
Inde;Blé;vegetale;517;60.56;2.39;15.09;86372;1870;;7168;27;75833;5611;93510;3060;0;3
Inde;Légumes, Autres;vegetale;41;62.3;0.34;2.43;82667;;;839;17;78012;4668;83489;;0;0
Pakistan;Sucre, canne;vegetale;15;18.53;0.1;0.05;61750;;;0;0;3375;;63750;6375;52000;-2000
Mexique;Sucre, canne;vegetale;0;0.46;;0;61181;0;815;1;0;56;1224;61182;;59086;
Brésil;Maïs;vegetale;240;28.01;0.98;5.31;54737;40487;;26780;979;5612;8145;80538;386;108;0
Nigéria;Manioc;vegetale;262;118.86;0.58;1.22;53004;26288;;11;15;20636;6080;53000;;0;0
États-Unis d'Amérique;Soja;vegetale;0;0.04;0;0.02;52672;2240;;39184;1267;12;591;91389;2640;47189;-800
Indonésie;Riz (Eq Blanchi);vegetale;1328;134.62;4.19;24.54;46875;1832;7338;29;485;33637;3664;47544;404;0;-1125
Inde;Pommes de Terre;vegetale;45;24.4;0.07;1.07;45135;;14;233;24;30546;11336;45344;3238;0;
Fédération de Russie;Sucre, betterave;vegetale;;;;;41321;4938;;;0;;413;39321;;35970;2000
Nigéria;Ignames;vegetale;288;104.97;0.58;4.6;40500;4050;14175;0;;18225;4050;40500;;;
Pakistan;Lait - Excl Beurre;animale;321;183.13;16.88;19.05;39126;1912;;169;247;33356;3858;39017;;0;31
Inde;Fruits, Autres;vegetale;29;27.01;0.26;0.31;38460;;;635;97;33815;4447;38998;;199;0
Brésil;Soja;vegetale;18;3.62;0.18;2.33;38086;637;;42797;283;725;;81700;1211;35513;-1100
Argentine;Soja;vegetale;0;0;0;0;36608;986;;7783;5;0;493;49306;1088;34041;-4920
Fédération de Russie;Lait - Excl Beurre;animale;269;163.57;15.28;16.22;35182;10663;974;345;5004;23364;182;30523;;0;0
Colombie;Sucre, canne;vegetale;;;;;34870;108;2946;6;;;;34876;1122;30694;
Fédération de Russie;Blé;vegetale;1022;130.99;3.26;30.52;34708;8142;3;14243;1360;18710;399;52091;6500;954;-4500
États-Unis d'Amérique;Blé;vegetale;599;80.43;2.85;19.35;34051;6196;16;34691;5491;25742;;57967;2096;0;5284
Indonésie;Sucre, canne;vegetale;;;;;33700;;;0;0;;;33700;;33700;
France;Sucre, betterave;vegetale;;;;;33613;;5633;1;0;;;33614;;27980;
Brésil;Lait - Excl Beurre;animale;252;149.28;13.32;13.16;33542;1898;100;143;1032;29910;1634;32653;;;0
Philippines;Sucre, canne;vegetale;0;0.1;;0;31874;60;;0;;10;1116;31874;1045;29643;0
Mexique;Maïs;vegetale;986;116.34;10.93;25.41;31707;12615;30;719;7261;14232;2858;22664;370;1602;2500
Fédération de Russie;Pommes de Terre;vegetale;207;113.26;0.31;4.94;30881;5655;85;52;734;16178;1984;30199;6579;400;0
Bangladesh;Riz (Eq Blanchi);vegetale;1711;171.73;3.78;32.14;30432;1031;4;1;260;26892;1718;34350;788;0;-4177
États-Unis d'Amérique;Sucre, betterave;vegetale;;;;;29804;;;5;63;;;29746;;29804;
États-Unis d'Amérique;Sucre, canne;vegetale;;;;;27918;;;0;12;;;27906;1738;26180;
Inde;Bananes;vegetale;30;17.59;0.1;0.39;27538;;;37;0;22023;5515;27575;;;
Australie;Sucre, canne;vegetale;;;;;27136;;;0;0;;;27136;;27136;
Guatemala;Sucre, canne;vegetale;;;;;26335;32;231;0;;;263;26335;;25808;
Inde;Sucre Eq Brut;vegetale;203;20.87;;;26142;;;2138;1316;26135;;27737;;7;-773
États-Unis d'Amérique;Bière;vegetale;91;78.93;;0.65;25261;;;497;3232;25261;;22527;;;
